宁波移动,#genre#
深圳卫视,http://111.56.90.5/000000000000/5000000004000007410/index.m3u8
天津卫视,http://111.56.90.5/000000000000/5000000001000030788/index.m3u8
西藏卫视,http://111.56.90.5/000000000000/5381760837640571168/index.m3u8
新疆卫视,http://111.56.90.5/000000000000/1000000002000029441/index.m3u8
云南卫视,http://111.56.90.5/000000000000/5000000006000040019/index.m3u8
浙江卫视,http://111.56.90.5/000000000000/5000000010000017320/index.m3u8
兵团卫视,http://111.56.90.5/000000000000/5000000006000040020/index.m3u8
安多卫视,http://111.56.90.5/000000000000/5000000006000022124/index.m3u8
大湾区卫视,http://111.56.90.5/000000000000/1000000002000011619/index.m3u8
甘肃卫视,http://111.56.90.5/000000000000/5000000006000040021/index.m3u8
康巴卫视,http://111.56.90.5/000000000000/5000000003000001598/index.m3u8
厦门卫视,http://111.56.90.5/000000000000/5084893189220221988/index.m3u8
东北热剧,http://111.56.90.5/000000000000/1000000005000266013/index.m3u8
东方影视,http://111.56.90.5/000000000000/5000000010000032212/index.m3u8
华语影院,http://111.56.90.5/000000000000/5000000011000288005/index.m3u8
亚洲影院,http://111.56.90.5/000000000000/5841816227539527643/index.m3u8
动作电影,http://111.56.90.5/000000000000/1000000004000018653/index.m3u8
全球大片,http://111.56.90.5/000000000000/5000000011000288009/index.m3u8
明星大片,http://111.56.90.5/000000000000/1000000004000019008/index.m3u8
星光影院,http://111.56.90.5/000000000000/5000000011000288013/index.m3u8
家庭剧场,http://111.56.90.5/000000000000/1000000004000008284/index.m3u8
年代大剧,http://111.56.90.5/000000000000/1000000001000006197/index.m3u8
欢乐剧场,http://111.56.90.5/000000000000/1000000005000266012/index.m3u8
欢笑剧场 4K,http://111.56.90.5/000000000000/5000000002000009455/index.m3u8
热门剧场,http://111.56.90.5/000000000000/5000000011000288010/index.m3u8
烽烟剧场,http://111.56.90.5/000000000000/1000000004000013730/index.m3u8
都市剧场,http://111.56.90.5/000000000000/5000000002000004412/index.m3u8
惊悚悬疑,http://111.56.90.5/000000000000/1000000004000024282/index.m3u8
谍战剧场,http://111.56.90.5/000000000000/5000000011000288004/index.m3u8
谍战大剧,http://111.56.90.5/000000000000/1000000004000026167/index.m3u8
精品大剧,http://111.56.90.5/000000000000/1000000004000013968/index.m3u8
精彩影视,http://111.56.90.5/000000000000/6000000006000320630/index.m3u8
超级电影,http://111.56.90.5/000000000000/1000000001000012884/index.m3u8
超级电视剧,http://111.56.90.5/000000000000/1000000001000008139/index.m3u8
黑莓电影,http://111.56.90.5/000000000000/1000000004000019624/index.m3u8
爱悬疑,http://111.56.90.5/000000000000/6000000006000050630/index.m3u8
爱浪漫,http://111.56.90.5/000000000000/6000000006000040630/index.m3u8
爱谍战,http://111.56.90.5/000000000000/6000000006000070630/index.m3u8
爱院线,http://111.56.90.5/000000000000/6000000006000030630/index.m3u8
少儿动漫,http://111.56.90.5/000000000000/8145334647720731271/index.m3u8
宝宝动画,http://111.56.90.5/000000000000/5000000011000288002/index.m3u8
青春动漫,http://111.56.90.5/000000000000/5000000011000288008/index.m3u8
黑莓动画,http://111.56.90.5/000000000000/1000000004000021734/index.m3u8
乐游,http://111.56.90.5/000000000000/5000000006000040025/index.m3u8
军事评论,http://111.56.90.5/000000000000/5822616274253344775/index.m3u8
军旅剧场,http://111.56.90.5/000000000000/7485075951068666323/index.m3u8
农业致富,http://111.56.90.5/000000000000/6193684637634073625/index.m3u8
健康养生,http://111.56.90.5/000000000000/5000000011000288006/index.m3u8
潮妈辣婆,http://111.56.90.5/000000000000/6516734029835465177/index.m3u8
炫动 3D,http://111.56.90.5/000000000000/6000000003000000558/index.m3u8
炫舞未来,http://111.56.90.5/000000000000/1000000001000000515/index.m3u8
超级综艺,http://111.56.90.5/000000000000/1000000001000025771/index.m3u8
武搏世界,http://111.56.90.5/000000000000/bokesen/index.m3u8
精品体育,http://111.56.90.5/000000000000/1000000004000014634/index.m3u8
超级体育,http://111.56.90.5/000000000000/1000000001000009204/index.m3u8
CETV1,http://111.56.90.5/000000000000/5000000002000002652/index.m3u8
CETV2,http://111.56.90.5/000000000000/5000000011000031201/index.m3u8
CETV4,http://111.56.90.5/000000000000/5000000006000012123/index.m3u8
上海教育,http://111.56.90.5/000000000000/5000000011000288019/index.m3u8
山东教育卫视,http://111.56.90.5/000000000000/1000000002000004097/index.m3u8
卡酷少儿,http://111.56.90.5/000000000000/7851974109718180595/index.m3u8
金鹰卡通,http://111.56.90.5/000000000000/5000000006000040024/index.m3u8
嘉佳卡通,http://111.56.90.5/000000000000/4739906347743456369/index.m3u8
优漫卡通,http://111.56.90.5/000000000000/6000000003000030492/index.m3u8
动漫秀场,http://111.56.90.5/000000000000/5000000002000023636/index.m3u8
哈哈炫动,http://111.56.90.5/000000000000/5000000005000031641/index.m3u8
五星体育,http://111.56.90.5/000000000000/5000000010000017540/index.m3u8
体育,http://111.56.90.5/000000000000/6000000003000011654/index.m3u8
晴彩竞技,http://111.56.90.5/000000000000/3000000020000011528/index.m3u8
晴彩篮球,http://111.56.90.5/000000000000/3000000020000011529/index.m3u8
上海新闻综合,http://111.56.90.5/000000000000/5000000011000031110/index.m3u8
上海都市,http://111.56.90.5/000000000000/5000000010000018926/index.m3u8
东方财经,http://111.56.90.5/000000000000/5000000007000010003/index.m3u8
中国天气,http://111.56.90.5/000000000000/5000000005000031974/index.m3u8
广东珠江,http://111.56.90.5/000000000000/1000000004000011655/index.m3u8
戏曲精选,http://111.56.90.5/000000000000/5000000011000288012/index.m3u8
晴彩广场舞,http://111.56.90.5/000000000000/3000000020000011524/index.m3u8
晴彩青少,http://111.56.90.5/000000000000/3000000020000031315/index.m3u8
游戏风云,http://111.56.90.5/000000000000/5000000011000031114/index.m3u8
漫游世界,http://111.56.90.5/000000000000/6000000003000028434/index.m3u8
生活时尚,http://111.56.90.5/000000000000/5000000002000019634/index.m3u8
电竞天堂,http://111.56.90.5/000000000000/5000000011000288003/index.m3u8
百变课堂,http://111.56.90.5/000000000000/5000000011000288001/index.m3u8
百视通,http://111.56.90.5/000000000000/5000000001000002898/index.m3u8
看天下精选,http://111.56.90.5/000000000000/5000000011000288007/index.m3u8
第一财经,http://111.56.90.5/000000000000/5000000010000027146/index.m3u8
精品综合,http://111.56.90.5/000000000000/5595720619887440144/index.m3u8
茶频道,http://111.56.90.5/000000000000/5000000011000031209/index.m3u8
财富天下,http://111.56.90.5/000000000000/5000000011000031208/index.m3u8
金色学堂,http://111.56.90.5/000000000000/5000000010000026105/index.m3u8
高清娱乐,http://111.56.90.5/000000000000/6000000003000001569/index.m3u8
家庭理财,http://111.56.90.5/000000000000/5000000011000031210/index.m3u8
咪咕视频,http://111.56.90.5/000000000000/3000000001000005969/index.m3u8
哒啵电竞,http://111.56.90.5/000000000000/1000000006000032327/index.m3u8
哒啵赛事,http://111.56.90.5/000000000000/1000000001000003775/index.m3u8
英雄联盟音乐节,http://111.56.90.5/000000000000/8978605063318475207/index.m3u8
北京纪实科教,http://111.56.90.5/000000000000/1000000001000001910/index.m3u8





求索生活,http://111.56.90.5/000000000000/6000000002000003382/1.m3u8
求索科学,http://111.56.90.5/000000000000/6000000002000032344/1.m3u8
求索纪录,http://111.56.90.5/000000000000/6000000002000032052/1.m3u8
求索动物,http://111.56.90.5/000000000000/6000000002000010046/1.m3u8

iHOT-爱院线,http://111.56.90.5/000000000000/6000000006000030630/1.m3u8
iHOT-爱幼教,http://111.56.90.5/000000000000/6000000006000180630/1.m3u8
iHOT-爱悬疑,http://111.56.90.5/000000000000/6000000006000050630/1.m3u8
iHOT-爱喜剧,http://111.56.90.5/000000000000/6000000006000010630/1.m3u8
iHOT-爱玩具,http://111.56.90.5/000000000000/6000000006000220630/1.m3u8
iHOT-爱体育,http://111.56.90.5/000000000000/6000000006000290630/1.m3u8
iHOT-爱赛车,http://111.56.90.5/000000000000/6000000006000240630/1.m3u8
iHOT-爱青春,http://111.56.90.5/000000000000/6000000006000100630/1.m3u8
iHOT-爱奇谈,http://111.56.90.5/000000000000/6000000006000270630/1.m3u8
iHOT-爱旅行,http://111.56.90.5/000000000000/6000000006000250630/1.m3u8
iHOT-爱历史,http://111.56.90.5/000000000000/6000000006000150630/1.m3u8
iHOT-爱浪漫,http://111.56.90.5/000000000000/6000000006000040630/1.m3u8
iHOT-爱科学,http://111.56.90.5/000000000000/6000000006000160630/1.m3u8
iHOT-爱科幻,http://111.56.90.5/000000000000/6000000006000020630/1.m3u8
iHOT-爱经典,http://111.56.90.5/000000000000/6000000006000060630/1.m3u8
iHOT-爱怀旧,http://111.56.90.5/000000000000/6000000006000260630/1.m3u8
